Treatment;ID;Time;FLU;PHN;ANT;PYR
C-12 DSC-AB;1;0;50,16725776;353,2652176;59,14435235;88,58885978
C-12 DSC-AB;2;0;50,39662087;372,691943;71,01281356;117,1100878
C-12 DSC-AB;3;0;58,95867141;407,5404679;77,31181677;121,8608699
C-13 DSC-AB;4;0;63,58248269;403,1753078;76,09239706;99,23231741
C-13 DSC-AB;5;0;60,88943354;416,1844636;71,75525475;111,3814531
C-13 DSC-AB;6;0;55,40789839;405,9867896;71,57296528;111,6097996
C-12 DSC-AB;1;7;0;6,909416151;4,024831753;70,09722759
C-12 DSC-AB;2;7;0;4,224627336;;81,14727815
C-12 DSC-AB;3;7;0;3,976444883;;71,00610287
C-13 DSC-AB;4;7;0;10,91463159;0;90,5917159
C-13 DSC-AB;5;7;0;9,426484139;13,04579475;96,28371736
C-13 DSC-AB;6;7;0;3,886152817;4,762532717;77,77727014
C-12 DSC-AB;1;15;0;6,994089259;0;56,9990487
C-12 DSC-AB;2;15;0;9,269104865;0;61,53839469
C-12 DSC-AB;3;15;0;4,411014595;0;61,39570874
C-13 DSC-AB;4;15;0;7,230184793;0;60,22635282
C-13 DSC-AB;5;15;0;8,20727193;0;62,61573908
C-13 DSC-AB;6;15;0;5,266621688;0;64,79859463
C-12 DSC-AB;1;30;0;7,335227463;4,938067702;19,67198259
C-12 DSC-AB;2;30;0;10,68020622;6,116775103;19,41171394
C-12 DSC-AB;3;30;0;12,25827362;0;3,930305606
C-13 DSC-AB;4;30;0;5,513603806;5,181276693;11,67660813
C-13 DSC-AB;5;30;0;0;0;15,02554909
C-13 DSC-AB;6;30;0;0;0;15,14075505
